,genes,logFC,AveExpr,t,P.Value,adj.P.Val,expr
CLN8,CLN8,-0.435784647377689,5.24798293117496,-5.40297985460469,1.55173785953811e-05,0.00152612355651423,non
LONRF2,LONRF2,-0.412412480563661,5.11178922819969,-5.38358446632588,1.62877728088187e-05,0.00159099408001243,non
NLRC5,NLRC5,0.564915048460469,3.59445064424915,5.37296494601765,1.67258621020978e-05,0.0016227476616488,non
SERPINE1,SERPINE1,-0.301207630544178,9.73675008061998,-5.34905144123678,1.77565179957778e-05,0.00171118014698908,non
LPP,LPP,-0.611395984510974,5.68923923168954,-5.33377206132,1.84484466894189e-05,0.00176600830675577,down
PSIP1,PSIP1,0.341711235226516,6.92242904413166,5.32330186252177,1.89382724252364e-05,0.00180089174671503,non
FLCN,FLCN,-0.388254474307636,5.97141628335039,-5.3157451284659,1.92999483199102e-05,0.00182321024951047,non
IER3,IER3,0.349231256362046,7.16589644747681,5.29404778062027,2.03776958908388e-05,0.00191244009997748,non
DNAJC2,DNAJC2,0.39907200813441,5.45240136197727,5.27821108761653,2.12025586826702e-05,0.00197693207873027,non
CYB5A,CYB5A,0.336373361728336,6.27361340880085,5.27486277499427,2.13812335860974e-05,0.00198072989072757,non
AOX1,AOX1,0.77589313023545,2.27725549423942,5.24896645440782,2.28155163614489e-05,0.00210005127842337,up
GREM1,GREM1,0.453571499425553,4.70242931758252,5.23391037555634,2.36936952530677e-05,0.00216699216648917,non
FGG,FGG,0.863847548765432,2.68490785803371,5.19689467746952,2.60006671377687e-05,0.00236293404703304,up
PITPNA-AS1,PITPNA-AS1,0.519954136321092,3.90880402496351,5.16104792377401,2.84508795279942e-05,0.00256934703863188,non
PLK2,PLK2,0.289980335631095,7.69520040785918,5.14622459261878,2.95310117971439e-05,0.00265022373996994,non
UQCRB,UQCRB,0.367758376592502,7.61344710073725,5.13771274122682,3.01698489542889e-05,0.00269073826791698,non
DDIT3,DDIT3,-0.636099313546147,3.45577005827917,-5.13434071373635,3.04267677848627e-05,0.00269690097915336,down
ESF1,ESF1,0.398799889280309,5.51591423152003,5.11633276686486,3.18366506778614e-05,0.00280455501278167,non
MATN2,MATN2,-0.366634010266691,5.69400046893846,-5.11125900610318,3.22456571199966e-05,0.00282326457674409,non
TAP2,TAP2,0.348818175870932,5.7142931893316,5.10142885835877,3.30532270196196e-05,0.00287643204105889,non
BATF2,BATF2,1.26812562196188,0.779160046744265,5.0696889051426,3.58026380321898e-05,0.00309692818978442,up
PDK4,PDK4,0.457504969223389,5.36359084183187,5.06508317834111,3.62203216532209e-05,0.00311429699771616,non
B4GALNT4,B4GALNT4,0.45215778973209,4.70386387623653,5.05314756303206,3.73257373525845e-05,0.00318490313719097,non
PLA2G4A,PLA2G4A,0.40987144423484,6.47554246550413,5.04990531487952,3.76318476637447e-05,0.00318490313719097,non
NUCB2,NUCB2,0.430516403981371,5.39928846854169,5.04911432060126,3.77069108797594e-05,0.00318490313719097,non
SERPINB7,SERPINB7,1.18026948805328,0.896898205866986,5.0444074639791,3.81567093596563e-05,0.003204047892955,up
AKR1B1,AKR1B1,0.241181811188786,11.2706800450206,5.0398624157799,3.85961756231604e-05,0.00322210747542418,non
CA9,CA9,0.485155196711763,4.165795297255,5.0360328718493,3.89704155507406e-05,0.00323454449071147,non
PLEC,PLEC,-0.291068908901309,10.0048493120772,-5.03221539796873,3.93471148918323e-05,0.00324704150995299,non
IGFBP3,IGFBP3,0.277043779818699,8.51197995415536,5.02788067846621,3.9779304801784e-05,0.00326394878656466,non
CA11,CA11,0.583185691759411,3.45190466583768,5.00890460080553,4.17283053197795e-05,0.00340441327321997,non
FGB,FGB,0.504693202516716,3.90874390174694,4.98192546210159,4.46660605086264e-05,0.00362350261493427,non
IFI16,IFI16,1.04596018128123,1.87654992885908,4.969663270033,4.60692860263907e-05,0.0037163420115334,up
GBP3,GBP3,0.66960967407459,2.87690377302084,4.95031393902827,4.83743592795235e-05,0.00388048840723284,up
MRPL33,MRPL33,0.328852836717966,6.82797456508893,4.93992189656729,4.96599161919717e-05,0.00395192925036246,non
RHOB,RHOB,0.288854541001412,7.33937131319057,4.9386834805992,4.98153906480678e-05,0.00395192925036246,non
KRT18,KRT18,0.244438082428323,11.2437825058514,4.91099471264326,5.34223409176684e-05,0.00421478787492748,non
STEAP1,STEAP1,0.502875174453977,4.39448523515796,4.90747606784873,5.38991413322294e-05,0.00422916814420482,non
SMARCA1,SMARCA1,0.348746806110625,7.17927801744097,4.90526701238028,5.42006683040619e-05,0.00422971410966318,non
EVA1C,EVA1C,0.340346162212774,5.85177631625696,4.87787062158787,5.80842245884925e-05,0.00448793056899614,non
ALDOC,ALDOC,0.411214996501676,5.12439902667104,4.87752731031311,5.81346253801297e-05,0.00448793056899614,non
LINC00473,LINC00473,0.490031782371129,3.69470758773014,4.87055416253842,5.91679087717771e-05,0.00454327273825641,non
MLL2,MLL2,-0.295753175502182,6.89159145227896,-4.8600041807815,6.07664175867975e-05,0.00462247134288912,non
CEBPZ,CEBPZ,0.369492566451742,6.77370129759219,4.85950466493297,6.08431704022594e-05,0.00462247134288912,non
EEF1A2,EEF1A2,0.308214546077,6.77347696672584,4.85471227142626,6.1584513194367e-05,0.00465416855241008,non
MMD,MMD,0.458708590989441,5.78569712107391,4.85060599606443,6.22269379313873e-05,0.0046780973913968,non
HSPA5,HSPA5,0.249277946883472,9.68178551681943,4.84713880066798,6.27746209483757e-05,0.00469469157394649,non
PAPPA,PAPPA,0.267952985546673,7.85814029171164,4.84263218848454,6.34937390859376e-05,0.00472386839137294,non
SELENBP1,SELENBP1,0.558320415530666,3.47108933371342,4.8340361310143,6.48884449887582e-05,0.00480274835872979,non
MSH6,MSH6,0.299491576730388,7.52006981405845,4.82728801942454,6.60048596757556e-05,0.00483875462638892,non
APOL6,APOL6,0.509220988932489,3.95627494340961,4.82702428032668,6.60488827057754e-05,0.00483875462638892,non
STC1,STC1,0.403349480338201,4.60441000825756,4.8222884177631,6.68444275401329e-05,0.00486347263967611,non
SULT2B1,SULT2B1,0.486796432961213,3.8070935280407,4.82099308121943,6.70636940355087e-05,0.00486347263967611,non
CCL5,CCL5,0.838377400800988,2.56026962743054,4.79611738036381,7.14175222856989e-05,0.00513269007250971,up
GNPDA1,GNPDA1,-0.296393513669245,6.50647268055883,-4.79475403957631,7.16641828828128e-05,0.00513269007250971,non
UNKL,UNKL,-0.349426371706537,6.03731074151244,-4.79373908701538,7.18483671964936e-05,0.00513269007250971,non
TRABD2B,TRABD2B,-1.7617406785595,-0.720427734395296,-4.78820498058876,7.28610412150483e-05,0.00517848124194242,down
WDR81,WDR81,-0.308028101158752,6.22582388404933,-4.78631235448817,7.32106478246613e-05,0.00517848124194242,non
PHF19,PHF19,-0.294755804999678,6.83283421794865,-4.78290513643306,7.38442818240688e-05,0.00519769628780296,non
JRK,JRK,-0.371302371609964,5.34665008570773,-4.77737394739697,7.48846537151553e-05,0.00524521337900446,non
SHISA5,SHISA5,0.29373433872431,7.24702476334256,4.76339904943154,7.75792570018241e-05,0.00540757549169511,non
FSTL1,FSTL1,0.281717332377277,7.12411543724447,4.75592098069923,7.90609198083278e-05,0.0054842306643854,non
IGFBP1,IGFBP1,0.38429197534917,4.88360275117756,4.74968134777806,8.03189211817124e-05,0.00554470860215485,non
CTNNAL1,CTNNAL1,0.354054142835249,6.16228672535481,4.71709982989827,8.72215947055632e-05,0.00599241568601522,non
FA2H,FA2H,-0.357217968684694,5.2422702437711,-4.68198947598388,9.53278089442036e-05,0.00651815242204676,non
CERK,CERK,-0.337541949430936,5.89028859628999,-4.66989679314507,9.82912449196985e-05,0.00668892884266327,non
TET3,TET3,-0.383808703751636,5.14935514335744,-4.66431021729184,9.96913089985225e-05,0.00675220521655559,non
MORC4,MORC4,0.270973403712401,8.48087563615037,4.65960029946301,0.00010088719097185,0.00679310267070283,non
PDLIM5,PDLIM5,0.299106828482149,8.19435180377977,4.65821635431897,0.000101241310086385,0.00679310267070283,non
PCDHA12,PCDHA12,-0.517572866693544,3.48017230372518,-4.65538304039375,0.000101970179366805,0.00680754628248313,non
CAMKK1,CAMKK1,-0.35511900134603,5.11359230218329,-4.65370333655258,0.000102404763355133,0.00680754628248313,non
ALDH3B1,ALDH3B1,-0.260714533342325,8.44070654925791,-4.64522430877863,0.000104627010234014,0.00692322230391802,non
RYR3,RYR3,-1.17976560189381,0.949382251542856,-4.643029444152,0.000105210088642973,0.00692987001295622,down
SNX8,SNX8,-0.300269158541215,6.12817456341975,-4.63943248520369,0.000106172690065527,0.00696134089794934,non
C1orf116,C1orf116,0.460650546417616,3.8691961072295,4.63257705060861,0.000108031813332448,0.00705104003473006,non
NACC2,NACC2,-0.289053459145242,6.51294178910313,-4.62775558857457,0.000109358845990823,0.00710535597096032,non
GPR56,GPR56,-0.295455235326822,6.56591207877975,-4.62403536322505,0.0001103939311663,0.00714029935863469,non
MAP3K8,MAP3K8,0.332545053780381,5.81282128680821,4.61133803068418,0.000114001205376771,0.00734055295069531,non
EHBP1,EHBP1,0.298327139932247,7.0159935789316,4.6062808653682,0.000115470592537496,0.00740197427788348,non
TM4SF20,TM4SF20,0.344052665353777,6.18280649492883,4.59898676189935,0.000117623403759078,0.0074766543832956,non
C19orf71,C19orf71,-0.484907143230968,3.43462050943516,-4.59880691420544,0.000117676989388175,0.0074766543832956,non
THBD,THBD,0.331048473930638,6.28814509365633,4.58443599394646,0.000122038770520089,0.00769756003797167,non
RRAGD,RRAGD,-0.554823182368354,3.44915108583751,-4.58383056536013,0.000122226038627867,0.00769756003797167,non
KLHL24,KLHL24,-0.540855159754491,3.67585850512148,-4.58038216015678,0.000123298180570852,0.00773117281579418,non
RTN4RL2,RTN4RL2,0.298512328006834,6.79211714918003,4.57808723828982,0.000124016905830096,0.00774242935136674,non
GMPS,GMPS,0.293721543286204,6.48963968836413,4.57180864600935,0.00012600474312917,0.00783247665191234,non
EML5,EML5,-0.656059738546755,2.6063725925761,-4.56859222768529,0.000127035400375914,0.00786250566378339,down
TGM2,TGM2,0.253280094545941,9.03751647422654,4.56672118012611,0.000127638829168132,0.00786594827478629,non
LMCD1,LMCD1,-0.325079489868518,5.34529044807615,-4.55695589134367,0.00013083508428727,0.00801497055519883,non
KIAA0247,KIAA0247,-0.405250405893213,4.26160917796615,-4.55593642585594,0.000131173346366162,0.00801497055519883,non
MXRA8,MXRA8,-0.703268552758599,2.13413595555746,-4.55364279831658,0.000131937582238162,0.0080275073871092,down
GTF2E2,GTF2E2,0.321544073905453,5.82607531077107,4.54487357000771,0.000134900788789484,0.00816427925838548,non
